Assay Type,Target Name,pEC50,MW,LogP,H_Donors,H_Acceptors,TPSA,Ring_Count,Rotatable_Bonds
F,Dopamine D1 receptor,6.920818753952375,296.37,2.6595400000000016,3.0,4.0,65.38000000000001,4.0,0.0
F,Dopamine D1 receptor,5.066664589922349,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,6.309803919971486,195.218,0.6702999999999999,3.0,4.0,75.71000000000001,2.0,1.0
F,Dopamine D1 receptor,8.67778070526608,271.316,2.411600000000001,3.0,4.0,75.71000000000001,3.0,2.0
F,Dopamine D1 receptor,6.413412695328245,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,6.309803919971486,276.13,1.2482,3.0,4.0,75.71000000000001,2.0,1.0
F,Dopamine D1 receptor,6.920818753952375,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,5.958607314841775,347.84200000000004,3.6381000000000037,2.0,4.0,52.93000000000001,4.0,2.0
F,Dopamine D1 receptor,5.958607314841775,269.3,2.0939,3.0,4.0,61.72,4.0,0.0
F,Dopamine D1 receptor,7.5376020021010435,269.3,2.0939,3.0,4.0,61.72,4.0,0.0
F,Dopamine D1 receptor,7.494850021680094,269.3,2.0939,3.0,4.0,61.72,4.0,0.0
F,Dopamine D1 receptor,7.721246399047171,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
F,Dopamine D1 receptor,7.6020599913279625,261.36499999999995,2.687000000000002,2.0,3.0,43.7,3.0,2.0
F,Dopamine D1 receptor,7.522878745280337,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,5.0,211.33399999999997,1.5822,2.0,4.0,50.94,2.0,3.0
F,Dopamine D1 receptor,7.2839966563652006,267.328,2.8499000000000025,2.0,3.0,43.7,4.0,0.0
F,Dopamine D1 receptor,7.455931955649724,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,6.522878745280337,255.31699999999998,2.3754,3.0,3.0,52.49,3.0,1.0
F,Dopamine D1 receptor,7.698970004336019,153.18099999999998,0.5989999999999998,3.0,3.0,66.48,1.0,2.0
F,Dopamine D1 receptor,8.4089353929735,267.32800000000003,2.6477000000000004,3.0,3.0,52.49,4.0,0.0
F,Dopamine D1 receptor,8.366531544420413,269.3,2.0939,3.0,4.0,61.72,4.0,0.0
